"created","tp","pre","hum","amb"
2018-04-20 06:48:58,25.76,0,49.16,31.38
2018-04-20 06:49:09,25.8,0,49.16,31.37
2018-04-20 06:49:20,25.76,0,49.18,31.36
2018-04-20 06:49:31,25.73,0,49.2,31.35
2018-04-20 06:49:43,25.73,0,49.21,31.34
2018-04-20 06:49:54,25.73,0,49.21,31.33
2018-04-20 06:50:05,0,0,49.23,0
2018-04-20 06:50:06,25.76,0,0,31.32
2018-04-20 06:50:17,25.76,0,49.25,31.31
2018-04-20 06:50:28,25.73,0,49.26,31.3
2018-04-20 06:50:39,25.73,0,49.26,31.29
2018-04-20 06:50:51,25.7,0,49.28,31.28
2018-04-20 06:51:03,25.73,0,49.29,31.27
2018-04-20 06:51:14,25.73,0,49.3,31.25
2018-04-20 06:51:25,25.73,0,49.32,31.25
2018-04-20 06:51:36,0,0,49.33,0
2018-04-20 06:51:37,25.63,0,0,31.24
2018-04-20 06:51:48,25.7,0,49.35,31.23
2018-04-20 06:51:59,25.66,0,49.37,31.23
2018-04-20 06:52:10,25.59,0,49.38,31.22
2018-04-20 06:52:22,25.63,0,49.4,31.21
2018-04-20 06:52:33,25.7,0,49.42,31.21
2018-04-20 06:52:44,25.7,0,49.42,31.21
2018-04-20 07:00:23,25.59,0,49.63,31.03
2018-04-20 07:00:34,25.66,0,49.62,31.03
2018-04-20 07:00:46,25.59,0,49.63,31.02
2018-04-20 07:00:57,25.56,0,49.64,31.01
2018-04-20 07:01:09,25.63,0,49.65,31.01
2018-04-20 07:01:20,25.59,0,49.65,31.01
2018-04-20 07:01:31,25.63,0,49.67,31
2018-04-20 07:01:42,25.66,0,49.68,30.99
2018-04-20 07:01:53,25.59,0,49.69,30.99
2018-04-20 07:02:05,25.59,0,49.7,30.98
2018-04-20 07:02:16,25.59,0,49.71,30.97
2018-04-20 07:02:27,25.63,0,49.72,30.97
2018-04-20 07:02:39,25.59,0,49.72,30.97
2018-04-20 07:02:50,25.56,0,49.72,30.96
2018-04-20 07:03:01,25.56,0,49.73,30.95
2018-04-20 07:03:13,25.59,0,49.73,30.95
2018-04-20 07:03:24,25.59,0,49.75,30.94
2018-04-20 07:03:35,0,0,49.76,0
